SkuID|ProductCode|ProductName|ProductType|ProductLink|ImageLink|RegularPrice|SalePrice|BrandName|Color|Rating|NumReviews|ReleaseDate|Keywords
12345|XCode12340|Brand X Whiz 9000|Electronics|http://www.companyx.com/products/12345|http://www.companyx.com/images/12345.jpg|80.89|72.8|Brand X|Blue~Red|4.12|1|8/27/2012|Technology~Music
12346|XCode12340|Brand X Whiz 9001|Electronics|http://www.companyx.com/products/12346|http://www.companyx.com/images/12346.jpg|94.57|85.11|Brand X|Blue~Red|4.12|1|8/28/2012|Technology~Music
12347|XCode12340|Brand X Whiz 9002|Electronics|http://www.companyx.com/products/12347|http://www.companyx.com/images/12347.jpg|22.08||Brand X|Blue~Red|4.12|1|8/29/2012|Technology~Music
12357|XCode12350|Brand X Whiz 9012|Headphones|http://www.companyx.com/products/12357|http://www.companyx.com/images/12357.jpg|54.92|49.43|Brand X|Blue|4.12|3|9/8/2012|Technology~Music
12349|XCode12340|Brand X Whiz 9004|Electronics|http://www.companyx.com/products/12349|http://www.companyx.com/images/12349.jpg|7.73||Brand X|Blue|4.12|1|8/31/2012|Technology~Music
12350|XCode12350|Brand X Whiz 9005|Electronics|http://www.companyx.com/products/12350|http://www.companyx.com/images/12350.jpg|94.29|84.86|Brand X|Blue|4.12|1|9/1/2012|Technology~Music
12352|XCode12350|Brand X Whiz 9007|Headphones|http://www.companyx.com/products/12352|http://www.companyx.com/images/12352.jpg|45.94||Brand X|Blue|4.12|1|9/3/2012|Technology~Music
12353|XCode12350|Brand X Whiz 9008|Headphones|http://www.companyx.com/products/12353|http://www.companyx.com/images/12353.jpg|19.49||Brand X|Blue|4.12|1|9/4/2012|Technology~Music
12375|XCode12370|Brand B Whiz 9030|Headphones|http://www.companyx.com/products/12375|http://www.companyx.com/images/12375.jpg|67.6|60.84|Brand B|Green|4|17|9/26/2012|
12356|XCode12350|Brand X Whiz 9011|Headphones|http://www.companyx.com/products/12356|http://www.companyx.com/images/12356.jpg|15.39||Brand X|Blue|4.12|3|9/7/2012|Technology~Music
12358|XCode12350|Brand X Whiz 9013|Headphones|http://www.companyx.com/products/12358|http://www.companyx.com/images/12358.jpg|83.78|75.4|Brand X|Blue|4.12|3|9/9/2012|Technology~Music
12359|XCode12350|Brand X Whiz 9014|Headphones|http://www.companyx.com/products/12359|http://www.companyx.com/images/12359.jpg|15.43||Brand X|Blue|4.12|3|9/10/2012|Technology~Music
12360|XCode12360|Brand X Whiz 9015|Headphones|http://www.companyx.com/products/12360|http://www.companyx.com/images/12360.jpg|60.95|54.86|Brand X|Blue|4.12|3|9/11/2012|Technology~Music
12361|XCode12361|Brand X Whiz 9016|Headphones|http://www.companyx.com/products/12361|http://www.companyx.com/images/12361.jpg|15.43||Brand X|Blue|4.12|3|9/12/2012|Music
12362|XCode12362|Brand X Whiz 9017|Headphones|http://www.companyx.com/products/12362|http://www.companyx.com/images/12362.jpg|18.27||Brand X|Blue|4.12|3|9/13/2012|Music
